mq	base	mode	cap	pts	floor	wall_s
0.10	float	FP	550	55	3.262515041110858e-13	28
0.10	float	DW	550	55	9.533240557815071e-28	38
0.10	float	TW	550	55	6.904047960251330e-34	53
0.10	double	FP	1200	120	3.111777550475465e-30	43
0.10	double	DW	1200	120	2.222081107327691e-62	298
0.10	double	TW	1200	120	3.200866786166550e-76	845
0.05	float	FP	550	55	5.858003969058667e-13	34
0.05	float	DW	550	55	4.850778596951644e-23	53
0.05	float	TW	550	55	4.785432515006756e-23	63
0.05	double	FP	1200	120	4.398358701260686e-30	48
0.05	double	DW	1200	120	6.082877672270816e-54	323
0.05	double	TW	1200	120	6.006607044660879e-54	849
0.025	float	FP	550	55	6.061496248509213e-13	23
0.025	float	DW	550	55	6.042695512391884e-19	38
0.025	float	TW	550	55	6.020483644993304e-19	53
0.025	double	FP	1200	120	4.252037901851457e-30	38
0.025	double	DW	1200	120	2.149434879314713e-46	299
0.025	double	TW	1200	120	2.128258340033884e-46	833
